# M_MTOT,R_RTOT,MATM_MTOT,RATM_RTOT,M_G,R_CM,REQ_CM,P_CGS,T_K,RHO_GCC,L_CGS,S_CGS,KROSS_CGS,GRADT,GRADAD,GRADRAD,TAUV,VSOUND_CGS,CP_CGS,X,Y,Z
 1.00000000000D+00, 1.00000000000D+00, 0.00000000000D+00, 0.00000000000D+00, 2.27760000000D+30, 8.85173981517D+09, 0.00000000000D+00, 1.43746836964D+07, 2.17331571151D+03, 1.94017386493D-04, 1.00000000000D+00, 7.15509448194D+08, 2.04666747680D-01, 0.00000000000D+00, 3.00229151678D-01, 2.28281084945D-02, 1.00000000000D+03, 3.21215895651D+05, 1.14191463699D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99999114614D-01, 9.98940305996D-01,-8.85385777805D-07,-1.05969400406D-03, 2.27759798345D+30, 8.84235967956D+09, 0.00000000000D+00, 1.83661995916D+07, 2.18794944923D+03, 2.46225910761D-04, 1.00000000000D+00, 7.07897075775D+08, 2.36899243985D-01, 0.00000000000D+00, 2.98147986959D-01, 3.28662265781D-02, 1.45474264904D+03, 3.22076132729D+05, 1.14435753471D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99998041715D-01, 9.97919808134D-01,-1.95828533189D-06,-2.08019186588D-03, 2.27759553981D+30, 8.83332649800D+09, 0.00000000000D+00, 2.32222385652D+07, 2.20810420910D+03, 3.08485036793D-04, 1.00000000000D+00, 7.00962226547D+08, 2.74970835292D-01, 0.00000000000D+00, 2.95364155503D-01, 4.64974273345D-02, 2.09448042477D+03, 3.23205971298D+05, 1.14976299798D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99996771407D-01, 9.96945920545D-01,-3.22859336699D-06,-3.05407945477D-03, 2.27759264656D+30, 8.82470589846D+09, 0.00000000000D+00, 2.89934000808D+07, 2.23507839823D+03, 3.80517830850D-04, 1.00000000000D+00, 6.94841184989D+08, 3.20111342915D-01, 0.00000000000D+00, 2.92284819470D-01, 6.43792911111D-02, 2.97617681080D+03, 3.24767567188D+05, 1.15677769969D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99995304620D-01, 9.96024413474D-01,-4.69537980785D-06,-3.97558652595D-03, 2.27758930580D+30, 8.81654895763D+09, 0.00000000000D+00, 3.56808406079D+07, 2.27005588488D+03, 4.61126707855D-04, 1.00000000000D+00, 6.89644246394D+08, 3.73964840202D-01, 0.00000000000D+00, 2.88836151262D-01, 8.69835872422D-02, 4.16486321038D+03, 3.26807608696D+05, 1.16455886280D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99993653067D-01, 9.95158467992D-01,-6.34693323431D-06,-4.84153200752D-03, 2.27758554422D+30, 8.80888383353D+09, 0.00000000000D+00, 4.32357948076D+07, 2.31398090454D+03, 5.48278815158D-04, 1.00000000000D+00, 6.85440847590D+08, 4.38773473302D-01, 0.00000000000D+00, 2.85275447821D-01, 1.14541563084D-01, 5.73349315735D+03, 3.29418520181D+05, 1.17260527250D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99991836940D-01, 9.94348436687D-01,-8.16306049189D-06,-5.65156331316D-03, 2.27758140781D+30, 8.80171364717D+09, 0.00000000000D+00, 5.15695814547D+07, 2.36751044463D+03, 6.39393638676D-04, 1.00000000000D+00, 6.82254206870D+08, 5.17620600999D-01, 0.00000000000D+00, 2.81569333105D-01, 1.47081046413D-01, 7.76483721104D+03, 3.32614691080D+05, 1.18061150653D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99989881641D-01, 9.93592315134D-01,-1.01183589492D-05,-6.40768486605D-03, 2.27757695443D+30, 8.79502065591D+09, 0.00000000000D+00, 6.05683357855D+07, 2.43105195086D+03, 7.31685636694D-04, 1.00000000000D+00, 6.80062342160D+08, 6.14756115518D-01, 0.00000000000D+00, 2.77813161109D-01, 1.84540441499D-01, 1.03559089812D+04, 3.36415229477D+05, 1.18835261468D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99987814929D-01, 9.92886579803D-01,-1.21850706233D-05,-7.11342019720D-03, 2.27757224728D+30, 8.78877367038D+09, 0.00000000000D+00, 7.01060696798D+07, 2.50485288138D+03, 8.22169078727D-04, 1.00000000000D+00, 6.78965868470D+08, 7.36058117946D-01, 0.00000000000D+00, 2.47202242648D-01, 2.26913192821D-01, 1.36246779854D+04, 3.36885030499D+05, 1.32774912287D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99985577397D-01, 9.92201673231D-01,-1.44226025843D-05,-7.79832676873D-03, 2.27756715108D+30, 8.78271105561D+09, 0.00000000000D+00, 8.04600323136D+07, 2.58594467738D+03, 9.13132205880D-04, 1.00000000000D+00, 6.78961886333D+08, 8.88194776809D-01, 2.18416888960D-01, 2.18416246902D-01, 2.76651726077D-01, 1.78831337284D+04, 3.38258684716D+05, 1.50564266624D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99982881341D-01, 9.91460239453D-01,-1.71186585378D-05,-8.53976054712D-03, 2.27756101054D+30, 8.77614807672D+09, 0.00000000000D+00, 9.29726600965D+07, 2.66507245389D+03, 1.02161563576D-03, 1.00000000000D+00, 6.78958428907D+08, 1.07513645517D+00, 2.00385717044D-01, 2.00384871288D-01, 3.43009239639D-01, 2.40952284716D+04, 3.41151677483D+05, 1.65494926687D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99979669854D-01, 9.90671556019D-01,-2.03301461416D-05,-9.32844398111D-03, 2.27755369606D+30, 8.76916685616D+09, 0.00000000000D+00, 1.07924320645D+08, 2.74333935149D+03, 1.14867785105D-03, 1.00000000000D+00, 6.78955390814D+08, 1.30583387642D+00, 1.88952856146D-01, 1.88951978969D-01, 4.30738381789D-01, 3.30832809276D+04, 3.44991031781D+05, 1.77964015088D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99975874214D-01, 9.89842497424D-01,-2.41257863191D-05,-1.01575025758D-02, 2.27754505111D+30, 8.76182824519D+09, 0.00000000000D+00, 1.25654017781D+08, 2.82160369305D+03, 1.29575931310D-03, 1.00000000000D+00, 6.78952787937D+08, 1.59193783275D+00, 1.81694548662D-01, 1.81693703275D-01, 5.46316757635D-01, 4.60326747663D+04, 3.49408853508D+05, 1.88302025169D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99971413235D-01, 9.88978102038D-01,-2.85867648687D-05,-1.10218979617D-02, 2.27753489078D+30, 8.75417684214D+09, 0.00000000000D+00, 1.46563378161D+08, 2.90053107272D+03, 1.46466728413D-03, 1.00000000000D+00, 6.78950255956D+08, 1.94860000770D+00, 1.77374701153D-01, 1.77373912170D-01, 6.98499522395D-01, 6.46579037867D+04, 3.54273204409D+05, 1.96790477646D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99966194759D-01, 9.88082413299D-01,-3.38052411674D-05,-1.19175867007D-02, 2.27752300518D+30, 8.74624843847D+09, 0.00000000000D+00, 1.71110651018D+08, 2.98069002369D+03, 1.65738909201D-03, 1.00000000000D+00, 6.78948358718D+08, 2.39565337168D+00, 1.75125341679D-01, 1.75124617019D-01, 8.99009063833D-01, 9.14353974372D+04, 3.59464514784D+05, 2.03688305877D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99960112413D-01, 9.87158326817D-01,-3.98875870551D-05,-1.28416731828D-02, 2.27750915203D+30, 8.73806866536D+09, 0.00000000000D+00, 1.99827020835D+08, 3.06252626102D+03, 1.87627066729D-03, 1.00000000000D+00, 6.78946553312D+08, 2.95906844625D+00, 1.74390990022D-01, 1.74390330026D-01, 1.16365136473D+00, 1.29968737604D+05, 3.64918893307D+05, 2.09217202848D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99953046976D-01, 9.86208234374D-01,-4.69530236064D-05,-1.37917656258D-02, 2.27749305979D+30, 8.72965869425D+09, 0.00000000000D+00, 2.33311413518D+08, 3.14643863380D+03, 2.12378804914D-03, 1.00000000000D+00, 6.78945278068D+08, 3.67312164824D+00, 1.74805765062D-01, 1.74805166590D-01, 1.51366666179D+00, 1.85501652832D+05, 3.70615794436D+05, 2.13557670207D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99944862403D-01, 9.85233774207D-01,-5.51375973796D-05,-1.47662257931D-02, 2.27747441861D+30, 8.72103302639D+09, 0.00000000000D+00, 2.72250702891D+08, 3.23274644070D+03, 2.40280314173D-03, 1.00000000000D+00, 6.78944247007D+08, 4.58312809413D+00, 1.76029121933D-01, 1.76028580378D-01, 1.97780742981D+00, 2.65719171907D+05, 3.76467432485D+05, 2.16870473413D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99935406367D-01, 9.84236278746D-01,-6.45936329627D-05,-1.57637212537D-02, 2.27745288154D+30, 8.71220345611D+09, 0.00000000000D+00, 3.17418716835D+08, 3.32174060140D+03, 2.71634149928D-03, 1.00000000000D+00, 6.78943444796D+08, 5.74942808351D+00, 1.77945462986D-01, 1.77944973294D-01, 2.59500376795D+00, 3.81904922521D+05, 3.82540269612D+05, 2.19293562223D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.99924506774D-01, 9.83216626883D-01,-7.54932262815D-05,-1.67833731167D-02, 2.27742805663D+30, 8.70317776312D+09, 0.00000000000D+00, 3.69694693556D+08, 3.41366735996D+03, 3.06778747776D-03, 1.00000000000D+00, 6.78942900985D+08, 7.25265856214D+00, 1.80259774920D-01, 1.80259332068D-01, 3.41825186504D+00, 5.50721773536D+05, 3.88707489870D+05, 2.20953146580D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
