 Age,M_Mtot,R_cm,logP,logT,logRho,logL,Kappa,Sint,Gradrad,Gradad,Gradtot,Tau,Lconv
  1.000000000000D+00,  1.000008409731D+00,  1.586096958034D+10, -2.099554761090D-07,  3.379725978296D+00, -1.090803820171D+01,  2.252504480704D+01,  2.317785872909-310,  0.000000000000D+00,  2.317785872909-310,  2.317785872909-310,  2.317785872909-310,  1.000000000000D-06,0
  1.000000000000D+00,  1.000008409731D+00,  1.584931191215D+10,  4.632636223149D-02,  3.379723821291D+00, -1.086170968247D+01,  2.252504480704D+01,  1.532259818651D-03,  0.000000000000D+00, -4.656106960508D-05,  7.300226798181D-02, -4.656106960508D-05,  1.232846739442D-06,0
  1.000000000000D+00,  1.000008409731D+00,  1.583709032269D+10,  9.489167929019D-02,  3.379721162061D+00, -1.081314170618D+01,  2.252504480704D+01,  1.615389498003D-03,  0.000000000000D+00, -5.475574177801D-05,  7.301606929213D-02, -5.475574177801D-05,  1.519911082953D-06,0
  1.000000000000D+00,  1.000008409730D+00,  1.582436392813D+10,  1.454610830175D-01,  3.379717883678D+00, -1.076256902407D+01,  2.252504480704D+01,  1.706232948717D-03,  0.000000000000D+00, -6.482936964082D-05,  7.303045148522D-02, -6.482936964082D-05,  1.873817422860D-06,0
  1.000000000000D+00,  1.000008409730D+00,  1.581119012099D+10,  1.978066462898D-01,  3.379713841997D+00, -1.071021941912D+01,  2.252504480704D+01,  1.805013081653D-03,  0.000000000000D+00, -7.721154521145D-05,  7.304532831987D-02, -7.721154521145D-05,  2.310129700083D-06,0
  1.000000000000D+00,  1.000008409729D+00,  1.579762283482D+10,  2.517142657386D-01,  3.379708859316D+00, -1.065630681699D+01,  2.252504480704D+01,  1.911950556769D-03,  0.000000000000D+00, -9.242999293459D-05,  7.306061103538D-02, -9.242999293459D-05,  2.848035868436D-06,0
  1.000000000000D+00,  1.000008409729D+00,  1.578371144215D+10,  3.069880289847D-01,  3.379702716576D+00, -1.060102691100D+01,  2.252504480704D+01,  2.027271290440D-03,  0.000000000000D+00, -1.111330149415D-04,  7.307620883536D-02, -1.111330149415D-04,  3.511191734215D-06,0
  1.000000000000D+00,  1.000008409728D+00,  1.576950019412D+10,  3.634524320626D-01,  3.379695143735D+00, -1.054455493508D+01,  2.252504480704D+01,  2.151212981945D-03,  0.000000000000D+00, -1.341170860456D-04,  7.309202842428D-02, -1.341170860456D-04,  4.328761281083D-06,0
  1.000000000000D+00,  1.000008409728D+00,  1.575502808303D+10,  4.209529211436D-01,  3.379685807910D+00, -1.048704511018D+01,  2.252504480704D+01,  2.284030675037D-03,  0.000000000000D+00, -1.623607876706D-04,  7.310797264538D-02, -1.623607876706D-04,  5.336699231206D-06,0
  1.000000000000D+00,  1.000008409727D+00,  1.574032900773D+10,  4.793552362343D-01,  3.379674298767D+00, -1.042863128594D+01,  2.252504480704D+01,  2.426001536247D-03,  0.000000000000D+00, -1.970665483786D-04,  7.312393827217D-02, -1.970665483786D-04,  6.579332246576D-06,0
  1.000000000000D+00,  1.000008409726D+00,  1.572543213640D+10,  5.385439761465D-01,  3.379660110516D+00, -1.036942835778D+01,  2.252504480704D+01,  2.577429139484D-03,  0.000000000000D+00, -2.397120037153D-04,  7.313981298128D-02, -2.397120037153D-04,  8.111308307897D-06,0
  1.000000000000D+00,  1.000008409725D+00,  1.571036238262D+10,  5.984207188816D-01,  3.379642619728D+00, -1.030953412426D+01,  2.252504480704D+01,  2.738647612796D-03,  0.000000000000D+00, -2.921132185044D-04,  7.315547149291D-02, -2.921132185044D-04,  1.000000000000D-05,0
  1.000000000000D+00,  1.000008409724D+00,  1.569514093295D+10,  6.589019432762D-01,  3.379621058017D+00, -1.024903133815D+01,  2.252504480704D+01,  2.910026046241D-03,  0.000000000000D+00, -3.565025491074D-04,  7.317077081350D-02, -3.565025491074D-04,  1.232846739442D-05,0
  1.000000000000D+00,  1.000008409722D+00,  1.567978578394D+10,  7.199169193188D-01,  3.379594478393D+00, -1.018798978249D+01,  2.252504480704D+01,  3.091973596551D-03,  0.000000000000D+00, -4.356245921668D-04,  7.318554445905D-02, -4.356245921668D-04,  1.519911082953D-05,0
  1.000000000000D+00,  1.000008409721D+00,  1.566431226243D+10,  7.814056712526D-01,  3.379561713835D+00, -1.012646826599D+01,  2.252504480704D+01,  3.284945768256D-03,  0.000000000000D+00, -5.328545030580D-04,  7.319959547644D-02, -5.328545030580D-04,  1.873817422860D-05,0
  1.000000000000D+00,  1.000008409719D+00,  1.564873351536D+10,  8.433170699434D-01,  3.379521326304D+00, -1.006451647977D+01,  2.252504480704D+01,  3.489452412879D-03,  0.000000000000D+00, -6.523440185763D-04,  7.321268801642D-02, -6.523440185763D-04,  2.310129700083D-05,0
  1.000000000000D+00,  1.000008409717D+00,  1.563306096345D+10,  9.056070771444D-01,  3.379471544015D+00, -1.000217669028D+01,  2.252504480704D+01,  3.706068076547D-03,  0.000000000000D+00, -7.992018433548D-04,  7.322453714210D-02, -7.992018433548D-04,  2.848035868436D-05,0
  1.000000000000D+00,  1.000008409714D+00,  1.561730471948D+10,  9.682371414651D-01,  3.379410184293D+00, -9.939485266240D+00,  2.252504480704D+01,  3.935445449976D-03,  0.000000000000D+00, -9.797167344248D-04,  7.323479648070D-02, -9.797167344248D-04,  3.511191734215D-05,0
  1.000000000000D+00,  1.000008409711D+00,  1.560147397525D+10,  1.031172731281D+00,  3.379334558765D+00, -9.876474050896D+00,  2.252504480704D+01,  4.178332841862D-03,  0.000000000000D+00, -1.201633743902D-03,  7.324304324126D-02, -1.201633743902D-03,  4.328761281083D-05,0
  1.000000000000D+00,  1.000008409708D+00,  1.558557736380D+10,  1.094381981126D+00,  3.379241356929D+00, -9.813171599214D+00,  2.252504480704D+01,  4.435596817240D-03,  0.000000000000D+00, -1.474496785840D-03,  7.324876002742D-02, -1.474496785840D-03,  5.336699231206D-05,0
  1.000000000000D+00,  1.000008409704D+00,  1.556962330484D+10,  1.157834423467D+00,  3.379126503304D+00, -9.749604303248D+00,  2.252504480704D+01,  4.708251428681D-03,  0.000000000000D+00, -1.810074148419D-03,  7.325131277142D-02, -1.810074148419D-03,  6.579332246576D-05,0
