 AGE         ,RAYON       ,LUMINOSITE  ,TEMPERATURE ,TEFF        ,R_RJUP      ,L_LJUP      
  7.48157E-01, 1.44056E+10, 1.36790E+28, 2.91510E+03, 2.00288E+03, 2.01500E+00, 4.08329E+05
  1.00000E+00, 1.43248E+10, 1.32348E+28, 2.90884E+03, 2.00282E+03, 2.00370E+00, 3.95069E+05
  1.27703E+00, 1.42381E+10, 1.27990E+28, 2.90176E+03, 2.00276E+03, 1.99156E+00, 3.82060E+05
  1.58176E+00, 1.41477E+10, 1.23546E+28, 2.89442E+03, 2.00270E+03, 1.97892E+00, 3.68794E+05
  1.91696E+00, 1.40534E+10, 1.19016E+28, 2.88678E+03, 2.00264E+03, 1.96573E+00, 3.55272E+05
  2.28569E+00, 1.39529E+10, 1.14278E+28, 2.87813E+03, 2.00257E+03, 1.95167E+00, 3.41128E+05
  2.69128E+00, 1.38487E+10, 1.09509E+28, 2.86916E+03, 2.00250E+03, 1.93710E+00, 3.26893E+05
  3.13744E+00, 1.37401E+10, 1.04603E+28, 2.85960E+03, 2.00243E+03, 1.92191E+00, 3.12249E+05
  3.62821E+00, 1.36263E+10, 9.94829E+27, 2.84918E+03, 2.00235E+03, 1.90600E+00, 2.96964E+05
  4.16806E+00, 1.35103E+10, 9.45061E+27, 2.83871E+03, 2.00227E+03, 1.88977E+00, 2.82108E+05
  4.76189E+00, 1.33889E+10, 8.95575E+27, 2.82713E+03, 2.00219E+03, 1.87279E+00, 2.67336E+05
  5.41511E+00, 1.32649E+10, 8.47617E+27, 2.81514E+03, 2.00211E+03, 1.85543E+00, 2.53020E+05
  6.13365E+00, 1.31366E+10, 7.97638E+27, 2.80189E+03, 2.00202E+03, 1.83750E+00, 2.38101E+05
  6.92404E+00, 1.30063E+10, 7.47792E+27, 2.78802E+03, 2.00194E+03, 1.81926E+00, 2.23221E+05
  7.79347E+00, 1.28742E+10, 6.98544E+27, 2.77365E+03, 2.00185E+03, 1.80079E+00, 2.08521E+05
  8.74984E+00, 1.27394E+10, 6.49658E+27, 2.75809E+03, 2.00175E+03, 1.78193E+00, 1.93928E+05
  9.80186E+00, 1.26038E+10, 6.04825E+27, 2.74210E+03, 2.00167E+03, 1.76297E+00, 1.80545E+05
  1.09591E+01, 1.24668E+10, 5.59631E+27, 2.72532E+03, 2.00158E+03, 1.74380E+00, 1.67054E+05
  1.22320E+01, 1.23300E+10, 5.15536E+27, 2.70816E+03, 2.00149E+03, 1.72466E+00, 1.53891E+05
  1.36322E+01, 1.21921E+10, 4.73635E+27, 2.68959E+03, 2.00140E+03, 1.70539E+00, 1.41384E+05
  1.51725E+01, 1.20557E+10, 4.34886E+27, 2.67016E+03, 2.00131E+03, 1.68630E+00, 1.29817E+05
  1.68668E+01, 1.19197E+10, 3.96749E+27, 2.64973E+03, 2.00122E+03, 1.66728E+00, 1.18433E+05
  1.87305E+01, 1.17857E+10, 3.61305E+27, 2.62848E+03, 2.00114E+03, 1.64854E+00, 1.07852E+05
  2.07805E+01, 1.16538E+10, 3.28969E+27, 2.60621E+03, 2.00106E+03, 1.63008E+00, 9.81997E+04
  2.30356E+01, 1.15241E+10, 2.97240E+27, 2.58264E+03, 2.00098E+03, 1.61194E+00, 8.87283E+04
  2.55162E+01, 1.13973E+10, 2.68434E+27, 2.55704E+03, 2.00091E+03, 1.59421E+00, 8.01295E+04
