planet_name,mass,sigma_mass,radius,sigma_radius,Teq,sigma_Teq,log_z,sigma_log_z,age,sigma_age,max_rows,age_lowlim,age_uplim,P,sigma_P,J2,sigma_J2
HAT-P-13_b,0.85,0.038,1.28,0.079,1653.0,45.0,'None','None',5.0,0.8,,4200.0,5800.0,2.916243,3e-06,0.00045727573313203413,0.00014666989749508147
WASP-4_b,1.1974,0.0068,1.3846,0.0088,1664.0,54.0,'None','None',1.0,0.0,,1000.0,1000.0,1.3382316,5.6e-08,0.007552753465883059,0.0016433139469843924
WASP-121_b,1.184,0.0645,1.865,0.044,2358.0,52.0,-3.05,0.87,1.0,0.0,,1000.0,1000.0,1.2749255,2.5e-07,0.0035819075572084955,0.014913764581733768
WASP-103_b,1.49,0.088,1.528,0.06,2513.0,49.0,-1.73,0.465,4.0,1.0,,3000.0,5000.0,0.925542,1.9e-05,0.008384872046980355,0.007612786187570595
WASP-18_b,10.4296,0.69,1.165,0.077,2392.0,63.0,-1.88,0.35,0.63,0.53,,100.0,1160.0000000000002,0.9414518,4e-07,0.0005392107341173118,0.00034095542402678546
test_hatp13b_up,0.851,0.038,1.272,0.065,1649.0,45.0,'None','None',5.0,0.8,,4200.0,5800.0,2.91625,1.5e-05,0.000491602500943369,0.00010671476250718025
test_hatp13b_low,0.851,0.038,1.272,0.065,1649.0,45.0,'None','None',5.0,0.8,,4200.0,5800.0,2.91625,1.5e-05,0.00012521404876969335,2.4673683527584575e-05
WASP-18_b_new, 10.4296,0.69,1.165,0.077,2392.0,63.0,-2.17,0.31,0.63,0.53,,100.0,1160.0000000000002,0.9414518,4e-07,0.0005392107341173118,0.00034095542402678546 
WASP-103_b_new,1.49,0.088,1.528,0.06,2513.0,49.0,-0.46,0.33,4.0,1.0,,3000.0,5000.0,0.925542,1.9e-05,0.008384872046980355,0.007612786187570595
WASP-39_b_new, 0.28,0.03,1.27,0.04,1030.0,25.0,-1.03,0.14,9.0,3.0,,6000.0,12000.0,4.055259,9e-06,'None','None'
HAT-P-1_b,0.525,0.019,1.319,0.019,1322.0,14.5,-2.72,0.47,3.6,2.0,,1600.0,5600.0,4.46529976,5.5e-07,'None','None'
